post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_aioseo_title,meta:_aioseo_description,meta:_aioseo_keywords,meta:_aioseo_og_title,meta:_aioseo_og_description,meta:_aioseo_twitter_title,meta:_aioseo_og_article_tags,meta:_aioseo_twitter_description,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_gabarity-krovati-mm,attribute_data:pa_gabarity-krovati-mm,attribute_default:pa_gabarity-krovati-mm,attribute:pa_gipoallergennye-napolniteli,attribute_data:pa_gipoallergennye-napolniteli,attribute_default:pa_gipoallergennye-napolniteli,attribute:pa_kreplenie,attribute_data:pa_kreplenie,attribute_default:pa_kreplenie,attribute:pa_mozhno-skrutit-v-rulon,attribute_data:pa_mozhno-skrutit-v-rulon,attribute_default:pa_mozhno-skrutit-v-rulon,attribute:pa_nagruzka,attribute_data:pa_nagruzka,attribute_default:pa_nagruzka,attribute:pa_razmer,attribute_data:pa_razmer,attribute_default:pa_razmer,attribute:pa_razmer-spalnogo-mesta-sm,attribute_data:pa_razmer-spalnogo-mesta-sm,attribute_default:pa_razmer-spalnogo-mesta-sm,attribute:pa_skruchen-v-rulon,attribute_data:pa_skruchen-v-rulon,attribute_default:pa_skruchen-v-rulon,attribute:pa_vysota,attribute_data:pa_vysota,attribute_default:pa_vysota,attribute:pa_vysota-izgolovya,attribute_data:pa_vysota-izgolovya,attribute_default:pa_vysota-izgolovya,attribute:pa_vysota-nozhki,attribute_data:pa_vysota-nozhki,attribute_default:pa_vysota-nozhki,attribute:pa_zhestkost,attribute_data:pa_zhestkost,attribute_default:pa_zhestkost,attribute:pa_zhestkost-storon,attribute_data:pa_zhestkost-storon,attribute_default:pa_zhestkost-storon
"BONNEL FOAM 101",bonnel-foam-101,,102,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
<li>Жаккард, простеганный высокообъемным наполнителем Hollcon плотностью 150 гр/м2</li></ul>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 8 мм</li>
			<li>Термовойлок</li>
			<li>Боннель 140 мм</li>
			<li>Термовойлок</li>
			<li>ППУ 8 мм</li>
		</ul>
	</div>
	<div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img a""></div>
			<div class=""title"">Очень прочный и долговечный пружинный блок Bonnel</div>
		</div>
		<div class=""item"">
			<div class=""bg-img b""></div>
			<div class=""title"">ППУ — гипоаллергенный материал, придает матрасу упругость</div>
		</div>
		<div class=""item"">
			<div class=""bg-img c""></div>
			<div class=""title"">Термовойлок защищает мягкие слои от истирания пружинным блоком</div>
		</div>
	</div>
</div>",publish,,0,"2021-11-14 15:04:49",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/bonnelfoam-101-1.png ! alt :  ! title : BonnelFoam 101 ! desc :  ! caption : ",,https://naturavera.org/product/bonnel-foam-101/,0,,,,,,,,,simple,,"Матрасы > Коллекция Bonnel",,,,,,,,,,,,Да,3|1|0,,"до 110 кг",1|1|0,,,,,,,,,,,17см,0|1|0,,,,,,,,,,,средняя,2|1|0,
"BONNEL PROMO 2",bonnel-promo-2,,107,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
	<li>Чехол из износоустойчивой ткани Трикот с высокообъёмным наполнителем Hollcon 70 гр/м2</li>
</ul>
</div>
<div class=""title"">Состав</div>
<div class=""card__desc_list"">
<ul>
 	<li>Forplit Eco 20 мм</li>
 	<li>Спанбонд</li>
 	<li>Боннель 140 мм</li>
 	<li>Спанбонд</li>
 	<li>Forplit Eco 20 мм</li>
</ul>
</div>
<div class=""card__desc_add"">
<div class=""item"">
<div class=""bg-img a""></div>
<div class=""title"">Очень прочный и долговечный пружинный блок Bonnel</div>
</div>
<div class=""item"">
<div class=""bg-img d""></div>
<div class=""title"">Forplit Eco придает матрасу упругость и жесткость выше среднего</div>
</div>
<div class=""item"">
<div class=""bg-img e""></div>
<div class=""title"">Спанбонд — экологически безопасное волокно, защищает мягкие слои от истирания пружинным блоком</div>
</div>
</div>
</div>",publish,,0,"2021-11-15 09:57:47",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/bonnelpromo-2.png ! alt :  ! title : BonnelPromo 2 ! desc :  ! caption : ",,https://naturavera.org/product/bonnel-promo-2/,0,,,,,,,,,simple,,"Матрасы > Коллекция Bonnel",,,,,,,,,,,,Да,0|1|0,,"до 110 кг",2|1|0,,,,,,,,,,,"18 см",1|1|0,,,,,,,,,,,"выше средней",3|1|0,
SPRING,spring,,108,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
<li>Жаккард, простеганный высокообъемным наполнителем Hollcon плотностью 150 гр/м2</li></ul>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Кокос 5 мм</li>
			<li>Спанбонд</li>
			<li>Боннель 140 мм</li>
			<li>Спанбонд</li>
			<li>ППУ 8 мм</li>
		</ul>
	</div>
	<div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img f""></div>
			<div class=""title"">Разная жесткость сторон</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Кокос — натуральный и экологически чистый наполнитель, придает матрасу жесткость</div>
		</div>
		<div class=""item"">
			<div class=""bg-img b""></div>
			<div class=""title"">ППУ — гипоаллергенный материал, придает матрасу упругость</div>
		</div>
	</div>
</div>",publish,,0,"2021-11-15 09:58:48",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/bonnelspring.png ! alt :  ! title : BonnelSpring ! desc :  ! caption : ",,https://naturavera.org/product/spring/,0,,,,,,,,,simple,,"Матрасы > Коллекция Bonnel",,,,,,,,,,,,Да,0|1|0,,"до 110 кг",2|1|0,,,,,,,,,,,"16 см",1|1|0,,,,,,,,,,,"средняя/выше средней",3|1|0,
"EASY ROLL LIGHT",easy-roll-light,,109,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный Hollcon 90 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 65 мм</li>
		</ul>
	</div>
</div>",publish,,100,"2021-11-15 10:02:34",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/easy-roll-light-1.png ! alt :  ! title : Easy Roll Light ! desc :  ! caption : ",,https://naturavera.org/product/easy-roll-light/,0,,,,,,,,,simple,,"Матрасы > Коллекция Easy Roll",,,,,,,,,,,,,,,"до 100 кг",1|1|0,,,,,,,,Да,3|1|0,,"7.5 см",0|1|0,,,,,,,,,,,низкая,2|1|0,
"EASY ROLL OPTIMA",easy-roll-optima,,110,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный Hollcon 90 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 100 мм</li>
		</ul>
	</div>
</div>",publish,,110,"2021-11-15 10:09:42",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/easy-roll-optima-1.png ! alt :  ! title : Easy Roll Optima ! desc :  ! caption : ",,https://naturavera.org/product/easy-roll-optima/,0,,,,,,,,,simple,,"Матрасы > Коллекция Easy Roll",,,,,,,,,,,,,,,"до 100 кг",1|1|0,,,,,,,,Да,3|1|0,,"11 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
"EASY ROLL TRADITIONAL",easy-roll-traditional,,111,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный Hollcon 90 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 120 мм</li>
		</ul>
	</div>
</div>",publish,,120,"2021-11-15 10:13:14",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/easy-roll-traditional.png ! alt :  ! title : Easy Roll Traditional ! desc :  ! caption : ",,https://naturavera.org/product/easy-roll-traditional/,0,,,,,,,,,simple,,"Матрасы > Коллекция Easy Roll",,,,,,,,,,,,,,,"до 100 кг",1|1|0,,,,,,,,Да,3|1|0,,"13 см",0|1|0,,,,,,,,,,,средняя,2|1|0,
"EASY ROLL SUPERIOR",easy-roll-superior,,112,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Жаккард, простеганный Hollcon 90 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>ППУ 160 мм</li>
		</ul>
	</div>
</div>",publish,,130,"2021-11-15 10:15:25",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/easy-roll-superior.png ! alt :  ! title : Easy Roll Superior ! desc :  ! caption : ",,https://naturavera.org/product/easy-roll-superior/,0,,,,,,,,,simple,,"Матрасы > Коллекция Easy Roll",,,,,,,,,,,,,,,"до 120 кг",1|1|0,,,,,,,,Да,3|1|0,,17см,0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"LIGHT COCOS",light-cocos,,113,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
			<li>Чехол из износоустойчивой ткани Трикот с высокообъёмным наполнителем Hollcon 70 гр/м2</li>
</div>
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Кокос 10 мм</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Кокос 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img d3""></div>
			<div class=""title"">Жесткость выше средней</div>
		</div>
		<div class=""item"">
			<div class=""bg-img g""></div>
			<div class=""title"">Экологически чистый и упругий слой кокоса придает матрасу жесткость</div>
		</div>
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
	</div>
</div>",publish,,0,"2021-11-15 10:16:53",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/light-cocos-1.png ! alt :  ! title : Light Cocos ! desc :  ! caption : ",,https://naturavera.org/product/light-cocos/,0,,,,,,,,,simple,,"Матрасы > Коллекция Light",,,,,,,,,,,,Да,4|1|0,,"120 кг",1|1|0,,,,,,,,,,,17см,0|1|0,,,,,,,,,,,"выше средней",2|1|0,
"LIGHT ECO COCOS",light-eco-cocos,,114,,"<div class=""card__desc"">
<div class=""title"">Чехол</div>
<div class=""card__desc_list"">
<ul>
 	<li>Чехол из износоустойчивой ткани Трикот с высокообъёмным наполнителем Hollcon 70 гр/м2</li>
</div>
<div class=""title"">Состав</div>
<div class=""card__desc_list"">
<ul>
 	<li>Forplit Eco 10 мм</li>
 	<li>НПБ 500 пружин на спальное место</li>
 	<li>Кокос 10 мм</li>
</ul>
</div>
<div class=""card__desc_add"">
<div class=""item"">
<div class=""bg-img f""></div>
<div class=""title"">Разная жесткость сторон</div>
</div>
<div class=""item"">
<div class=""bg-img g""></div>
<div class=""title"">Одна сторона — слой экологически чистого и упругого кокоса</div>
</div>
<div class=""item"">
<div class=""bg-img i""></div>
<div class=""title"">Другая сторона — устойчивый к нагрузкам и деформациям слой Forplit Eco</div>
</div>
</div>
</div>",publish,,0,"2021-11-15 10:23:04",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/light-eco-cocos.png ! alt :  ! title : Light Eco Cocos ! desc :  ! caption : ",,https://naturavera.org/product/light-eco-cocos/,0,,,,,,,,,simple,,"Матрасы > Коллекция Light",,,,,,,,,,,,Да,4|1|0,,"120 кг",1|1|0,,,,,,,,,,,17см,0|1|0,,,,,,,,,,,"средняя/выше средней",2|1|0,
"LIGHT ECO",light-eco,,116,,"<div class=""card__desc"">
	<div class=""title"">Состав</div>
	<div class=""card__desc_list"">
		<ul>
			<li>Чехол из износоустойчивой ткани Трикот с высокообъёмным наполнителем Hollcon 70 гр/м2</li>
			<li>Forplit Eco 10 мм</li>
                        <li>НПБ 500 пружин на спальное место</li>
                        <li>Forplit Eco 10 мм</li>
		</ul>
	</div>
        <div class=""card__desc_add"">
		<div class=""item"">
			<div class=""bg-img c2""></div>
			<div class=""title"">Независимый пружинный блок — 500 пружин на спальное место</div>
		</div>
		<div class=""item"">
			<div class=""bg-img i""></div>
			<div class=""title"">Устойчивый к нагрузкам и деформациям слой Forplit Eco с двух сторон</div>
		</div>
		<div class=""item"">
			<div class=""bg-img d3""></div>
			<div class=""title"">Матрас с жесткостью выше средней</div>
		</div>
	</div>
</div>",publish,,0,"2021-11-15 10:26:55",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"http://naturavera.org/wp-content/uploads/2021/11/light-eco.png ! alt :  ! title : Light Eco ! desc :  ! caption : ",,https://naturavera.org/product/light-eco/,0,,,,,,,,,simple,,"Матрасы > Коллекция Light",,,,,,,,,,,,Да,3|1|0,,"100 кг",1|1|0,,,,,,,,,,,17см,0|1|0,,,,,,,,,,,"выше средней",2|1|0,
